# repo	entry_lines	entries	commits	head_lines	first_commit_unix
cosmic	35791	8	2	17901	1789811799
stones	1543	35	5	496	1789772875
Kuiper-belt	536667	1588	43	37010	1789756278
Kuiper_belt	7923	70	13	1158	1789756278
particle-physics-drawing-engine	459140	17859	81	10227	1789689431
_board	205096	4352	20	11787	1789530250
elements	643461	129	7	129931	1789498600
galaxies-wafers	10388257	77674	168	112393	1789488837
star-cable-derating-star	4	2	1	4	1789428744
star-sector-star	81255	22	2	4	1789428320
star-solar-star	1133977	965	23	4	1789425048
star-electron-star	30713	364	11	3431	1789424104
star-seer-star	2	1	1	2	1789424039
star-quantum-twin	77066	230	4	25459	1789423978
grid-dictionary	9022	22	3	4509	1789398434
code-generator	268775	366	12	39059	1789375811
stars	65233929	44432	198	345927	1789350760
star-maker	22207132	266639	81	560791	1789336472
control-pad	350	29	4	168	1789332317
gridmachine2	1094986	1400	10	121801	1788787355
gridmachine1	244231	2810	83	4371	1788787246
pipelinenews-gridatlas-20260906	2423	66	5	642	1788713744
cable-trench-or-drill	34002	185	7	4241	1788635994
gis-sld-sandbox	135245	581	12	7987	1788634440
layout-tool	31276	137	5	6600	1788634006
gpu-drivers-for-global-grid	46207	389	18	3188	1788623676
linux-for-the-power-grid	27802	51	4	9298	1788620546
teleprinter	1498610	4609	63	38664	1788617306
testcode	710020215	1267266	252	2160221	1788577967
ventusltd.com	138	2	1	138	1788568276
studies	2	1	1	2	1788563764
ventus-grid-engine	1302921	8230	85	17405	1788526991
codex-chatgpt	23392	81	5	7669	1788394821
claude	69054199	50331	269	395402	1788394650
gemini	876	12	2	872	1788394399
data-grid-gb	2277896	230	12	322020	1788280514
grid-distance-maths	8146	47	6	2160	1788189927
chatgpt-audits	59310824	387882	120	497545	1788132755
cvaa	221427	2657	60	7833	1788095259
architecture	2	1	1	2	1787992732
data-gridatlas	445524	2377	24	20120	1787990496
gridatlas	210544948	248369	568	1186581	1787983833
companies	596322	2437	80	20868	1787779529
pipelinenews	1151313872	1033746	529	1013951	1787567970
uk-dno-data	2	1	1	2	1786261641
v11	983673	6394	123	4250	1785671813
seed-data	144094	353	28	8021	1785368890
data-centres-gb	51033	274	16	5286	1785325290
solar-electrical-topology-analysis-engine-text-based	27734125	177955	840	59217	1785079655
Mahabharata	1082	60	11	362	1783459841
reports	20713	295	25	1594	1783327629
registry_of_all_content_in_repos_and_dependencies	9418519	1000	46	768543	1783264215
data_uk_dno_and_tso	42497	708	40	2115	1783232488
spiders	17639290	18309	171	200867	1783146887
data-federation-map-for-globalgrid2050-all-repos	1652459	15621	228	13214	1782807741
gb-electricity-ui	4724	172	19	925	1782768850
data-interconnectors	18978	160	22	1401	1782765991
data-gb-electricity	106520	12853	75	4748	1782726507
globalgrid2050-homepage	71858	691	62	2344	1782714189
globalgrid2050-hompage	69460	666	60	2060	1782714189
youengineer-code-review	316443	2574	96	4615	1782475252
crm	1863	10	4	702	1779363668
cable_selection	2	1	1	2	1775688580
globalgrid2050	35561117636	11398447	5054	20035192	1773332784
Solar-PV-Hybrid-and-off-grid	2	1	1	2	1756170055
solar-repowering-whitepaper	3819	16	8	514	1755026766
pv-arc-protection-circuit	57572	261	88	918	1748560273
