# label	value_um2	kind	x_mm	y_mm	w_mm	h_mm
die +0+0	858000000	full	0.0000	0.0000	26.0000	33.0000
die +1+0	858000000	full	26.0800	0.0000	26.0000	33.0000
die -1+0	858000000	full	-26.0800	0.0000	26.0000	33.0000
die +0+1	858000000	full	0.0000	33.0800	26.0000	33.0000
die +0-1	858000000	full	0.0000	-33.0800	26.0000	33.0000
die +1+1	858000000	full	26.0800	33.0800	26.0000	33.0000
die +1-1	858000000	full	26.0800	-33.0800	26.0000	33.0000
die -1+1	858000000	full	-26.0800	33.0800	26.0000	33.0000
die -1-1	858000000	full	-26.0800	-33.0800	26.0000	33.0000
die +2+0	858000000	full	52.1600	0.0000	26.0000	33.0000
die -2+0	858000000	full	-52.1600	0.0000	26.0000	33.0000
die +2+1	858000000	full	52.1600	33.0800	26.0000	33.0000
die +2-1	858000000	full	52.1600	-33.0800	26.0000	33.0000
die -2+1	858000000	full	-52.1600	33.0800	26.0000	33.0000
die -2-1	858000000	full	-52.1600	-33.0800	26.0000	33.0000
die +0+2	858000000	full	0.0000	66.1600	26.0000	33.0000
die +0-2	858000000	full	0.0000	-66.1600	26.0000	33.0000
die +1+2	858000000	full	26.0800	66.1600	26.0000	33.0000
die +1-2	858000000	full	26.0800	-66.1600	26.0000	33.0000
die -1+2	858000000	full	-26.0800	66.1600	26.0000	33.0000
die -1-2	858000000	full	-26.0800	-66.1600	26.0000	33.0000
die +3+0	858000000	full	78.2400	0.0000	26.0000	33.0000
die -3+0	858000000	full	-78.2400	0.0000	26.0000	33.0000
die +2+2	858000000	full	52.1600	66.1600	26.0000	33.0000
die +2-2	858000000	full	52.1600	-66.1600	26.0000	33.0000
die -2+2	858000000	full	-52.1600	66.1600	26.0000	33.0000
die -2-2	858000000	full	-52.1600	-66.1600	26.0000	33.0000
die +3+1	858000000	full	78.2400	33.0800	26.0000	33.0000
die +3-1	858000000	full	78.2400	-33.0800	26.0000	33.0000
die -3+1	858000000	full	-78.2400	33.0800	26.0000	33.0000
die -3-1	858000000	full	-78.2400	-33.0800	26.0000	33.0000
die +0+3	858000000	full	0.0000	99.2400	26.0000	33.0000
die +0-3	858000000	full	0.0000	-99.2400	26.0000	33.0000
die +3+2	858000000	full	78.2400	66.1600	26.0000	33.0000
die +3-2	858000000	full	78.2400	-66.1600	26.0000	33.0000
die -3+2	858000000	full	-78.2400	66.1600	26.0000	33.0000
die -3-2	858000000	full	-78.2400	-66.1600	26.0000	33.0000
die +1+3	858000000	full	26.0800	99.2400	26.0000	33.0000
die +1-3	858000000	full	26.0800	-99.2400	26.0000	33.0000
die -1+3	858000000	full	-26.0800	99.2400	26.0000	33.0000
die -1-3	858000000	full	-26.0800	-99.2400	26.0000	33.0000
die +4+0	858000000	full	104.3200	0.0000	26.0000	33.0000
die -4+0	858000000	full	-104.3200	0.0000	26.0000	33.0000
die +4+1	858000000	full	104.3200	33.0800	26.0000	33.0000
die +4-1	858000000	full	104.3200	-33.0800	26.0000	33.0000
die -4+1	858000000	full	-104.3200	33.0800	26.0000	33.0000
die -4-1	858000000	full	-104.3200	-33.0800	26.0000	33.0000
die +2+3	858000000	full	52.1600	99.2400	26.0000	33.0000
die +2-3	858000000	full	52.1600	-99.2400	26.0000	33.0000
die -2+3	858000000	full	-52.1600	99.2400	26.0000	33.0000
die -2-3	858000000	full	-52.1600	-99.2400	26.0000	33.0000
die +4+2	858000000	full	104.3200	66.1600	26.0000	33.0000
die +4-2	858000000	full	104.3200	-66.1600	26.0000	33.0000
die -4+2	858000000	full	-104.3200	66.1600	26.0000	33.0000
die -4-2	858000000	full	-104.3200	-66.1600	26.0000	33.0000
